adm2_name,adm2_code,adm1_name,AreaKm2,AreaFLRisk,PercFLRisk,PercFLClas,FLMaxFreq,FLMaxClass,FloodRisk,FloodClass,FloodText
Jebal Aulya,0,Khartoum,780,116,15,2,28,3,5,3,High
Um Badah,1,Khartoum,3469,2,0,1,2,1,2,1,Low
Bahri (Khartoum North),2,Khartoum,3200,202,6,1,21,3,4,2,Medium
Sharq El Nile,3,Khartoum,9471,631,7,1,17,3,4,2,Medium
Karari,4,Khartoum,2916,72,2,1,21,3,4,2,Medium
Um Durman,5,Khartoum,1221,191,16,2,28,3,5,3,High
Khartoum,6,Khartoum,167,73,44,3,28,3,6,3,High
Abu Hamed,7,Nile,50337,963,2,1,10,2,3,2,Medium
Aldaba,18,Northern,45254,275,1,1,14,2,3,2,Medium
El Matama,8,Nile,9273,556,6,1,21,3,4,2,Medium
Shendi,9,Nile,11717,741,6,1,18,3,4,2,Medium
Eldamar,10,Nile,36545,3741,10,2,10,2,4,2,Medium
Atbra,11,Nile,8618,163,2,1,10,2,3,2,Medium
Berber,12,Nile,13447,556,4,1,10,2,3,2,Medium
Halfa,13,Northern,129794,1220,1,1,2,1,2,1,Low
Dalgo,14,Northern,56860,676,1,1,2,1,2,1,Low
Alborgag,15,Northern,1422,159,11,2,2,1,3,2,Medium
Dongola,16,Northern,48316,632,1,1,2,1,2,1,Low
Algolid,17,Northern,65626,732,1,1,2,1,2,1,Low
Marawai,19,Northern,17610,531,3,1,10,2,3,2,Medium
Qebaesh,20,West Kordofan,14561,158,1,1,2,1,2,1,Low
El Nehoud,21,West Kordofan,15752,0,0,1,0,1,2,1,Low
Rabak,45,White Nile,1690,274,16,2,18,3,5,3,High
Um Rwaba,22,North Kordofan,22278,1079,5,1,2,1,2,1,Low
Shiekan,23,North Kordofan,8423,177,2,1,2,1,2,1,Low
Kadugli,97,South Kordofan,2293,183,8,1,7,2,3,2,Medium
Sodari,24,North Kordofan,82627,15,0,1,2,1,2,1,Low
Bara,25,North Kordofan,22857,47,0,1,10,2,3,2,Medium
Al Buram,98,South Kordofan,2072,272,13,2,7,2,4,2,Medium
Jebrt El Sheekh,26,North Kordofan,50943,254,0,1,10,2,3,2,Medium
Abu Zabad,27,West Kordofan,10889,149,1,1,2,1,2,1,Low
Wad Banda,28,West Kordofan,11389,0,0,1,0,1,2,1,Low
Wad Madani El Kobra(Greater Wad Madani),29,Al Gezira,587,175,30,3,17,3,6,3,High
Janoub El Jazeera (Southern El Jazeera),30,Al Gezira,3252,1106,34,3,21,3,6,3,High
Um El Qura,31,Al Gezira,3906,350,9,1,10,2,3,2,Medium
Sharg El Jazeer (Eastern El Jazeera),32,Al Gezira,6644,252,4,1,21,3,4,2,Medium
Sinnar,37,Sennar,5533,301,5,1,14,2,3,2,Medium
Babanusa,99,West Kordofan,4247,423,10,2,2,1,3,2,Medium
El Hasaheesa,33,Al Gezira,4163,480,12,2,24,3,5,3,High
